Iteration	expected_value	risk	lambda
5.000000	0.000000	2506.214000	0.000000
5.000000	0.000000	2506.214000	0.000000
5.000000	748.169000	2456.090000	0.020000
5.000000	1496.338000	2405.966000	0.040000
8.000000	2244.508000	2355.841000	0.060000
14.000000	2992.677000	2305.717000	0.080000
14.000000	3740.846000	2255.593000	0.100000
14.000000	4489.015000	2205.469000	0.120000
7.000000	5237.185000	2155.344000	0.140000
7.000000	5985.354000	2105.220000	0.160000
7.000000	6733.523000	2055.096000	0.180000
39.000000	7481.692000	2004.971000	0.200000
29.000000	8229.862000	1954.847000	0.220000
29.000000	8978.031000	1904.723000	0.240000
29.000000	9726.200000	1854.599000	0.260000
29.000000	10474.369000	1804.474000	0.280000
29.000000	11222.539000	1754.350000	0.300000
2.000000	13885.297000	1706.323000	0.360000
2.000000	14656.702000	1653.000000	0.380000
2.000000	15428.108000	1599.678000	0.400000
2.000000	16199.513000	1546.355000	0.420000
2.000000	16970.919000	1493.033000	0.440000
2.000000	17742.324000	1439.710000	0.460000
2.000000	18513.729000	1386.387000	0.480000
2.000000	19285.135000	1333.065000	0.500000
2.000000	20056.540000	1279.742000	0.520000
2.000000	20827.946000	1226.420000	0.540000
2.000000	21599.351000	1173.097000	0.560000
2.000000	22370.756000	1119.775000	0.580000
2.000000	23142.162000	1066.452000	0.600000
2.000000	23913.567000	1013.129000	0.620000
2.000000	24684.972000	959.807000	0.640000
2.000000	25456.378000	906.484000	0.660000
2.000000	26227.783000	853.162000	0.680000
2.000000	26999.189000	799.839000	0.700000
2.000000	27770.594000	746.516000	0.720000
2.000000	28541.999000	693.194000	0.740000
2.000000	29313.405000	639.871000	0.760000
2.000000	30084.810000	586.549000	0.780000
2.000000	30856.216000	533.226000	0.800000
2.000000	31627.621000	479.903000	0.820000
2.000000	32399.026000	426.581000	0.840000
2.000000	33170.432000	373.258000	0.860000
2.000000	33941.837000	319.936000	0.880000
2.000000	34713.243000	266.613000	0.900000
2.000000	35484.648000	213.290000	0.920000
2.000000	36256.053000	159.968000	0.940000
2.000000	37027.459000	106.645000	0.960000
2.000000	37798.864000	53.323000	0.980000
2.000000	38570.269000	-0.000000	1.000000
3.000000	39597.530000	-0.000000	1.000000
4.000000	39946.047000	-0.000000	1.000000
5.000000	40256.409000	-0.000000	1.000000
6.000000	42300.695000	-0.000000	1.000000
7.000000	43758.291000	-0.000000	1.000000
10.000000	41839.278000	-0.000000	1.000000
11.000000	41839.278000	-0.000000	1.000000
13.000000	42375.011000	-0.000000	1.000000
14.000000	42375.011000	-0.000000	1.000000
15.000000	43760.928000	-0.000000	1.000000
16.000000	43760.928000	-0.000000	1.000000
18.000000	42787.600000	-0.000000	1.000000
20.000000	41942.651000	-0.000000	1.000000
22.000000	43924.636000	-0.000000	1.000000
25.000000	44640.981000	-0.000000	1.000000
27.000000	48588.295000	-0.000000	1.000000
28.000000	48588.295000	-0.000000	1.000000
30.000000	45536.210000	-0.000000	1.000000
31.000000	45536.210000	-0.000000	1.000000
32.000000	45536.210000	-0.000000	1.000000
33.000000	45536.210000	-0.000000	1.000000
34.000000	45536.210000	-0.000000	1.000000
35.000000	45536.210000	-0.000000	1.000000
36.000000	45536.210000	-0.000000	1.000000
37.000000	45536.210000	-0.000000	1.000000
38.000000	45536.210000	-0.000000	1.000000
39.000000	45536.210000	-0.000000	1.000000
40.000000	45536.210000	-0.000000	1.000000
41.000000	45536.210000	-0.000000	1.000000
42.000000	45536.210000	-0.000000	1.000000
43.000000	45536.210000	-0.000000	1.000000
44.000000	45536.210000	-0.000000	1.000000
45.000000	45536.210000	-0.000000	1.000000
46.000000	45536.210000	-0.000000	1.000000
47.000000	45536.210000	-0.000000	1.000000
48.000000	45536.210000	-0.000000	1.000000
2.000000	38570.269000	-0.000000	1.000000
2.000000	38570.269000	-0.000000	1.000000
2.000000	38570.269000	-0.000000	1.000000
2.000000	37798.864000	53.323000	0.980000
2.000000	37027.459000	106.645000	0.960000
2.000000	36256.053000	159.968000	0.940000
2.000000	35484.648000	213.290000	0.920000
2.000000	34713.243000	266.613000	0.900000
2.000000	33941.837000	319.936000	0.880000
2.000000	33170.432000	373.258000	0.860000
2.000000	32399.026000	426.581000	0.840000
2.000000	31627.621000	479.903000	0.820000
2.000000	30856.216000	533.226000	0.800000
2.000000	30084.810000	586.549000	0.780000
2.000000	29313.405000	639.871000	0.760000
2.000000	28541.999000	693.194000	0.740000
2.000000	27770.594000	746.516000	0.720000
2.000000	26999.189000	799.839000	0.700000
2.000000	26227.783000	853.162000	0.680000
2.000000	25456.378000	906.484000	0.660000
2.000000	24684.972000	959.807000	0.640000
2.000000	23913.567000	1013.129000	0.620000
2.000000	23142.162000	1066.452000	0.600000
2.000000	22370.756000	1119.775000	0.580000
2.000000	21599.351000	1173.097000	0.560000
2.000000	20827.946000	1226.420000	0.540000
2.000000	20056.540000	1279.742000	0.520000
2.000000	19285.135000	1333.065000	0.500000
2.000000	18513.729000	1386.387000	0.480000
2.000000	17742.324000	1439.710000	0.460000
5.000000	17712.820000	1573.669000	0.440000
2.000000	16970.919000	1493.033000	0.440000
5.000000	16907.692000	1629.871000	0.420000
2.000000	16199.513000	1546.355000	0.420000
